Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Loft (deg),Spin Efficiency
101,4h,Hybrid,6/2/2024 7:52,125.3,0.8,16.2,5205,685,5250,180.2,193.7,17,32,45.6,92.81481481,90.95851852,,11.2,0.96,0.8,22,47.00718276
102,4h,Hybrid,6/2/2024 7:52,125.3,3.2,25.7,4755,652,4799,178.8,192.2,25.7,49.7,53.9,92.81481481,90.95851852,,20.7,3.84,3.2,22,43.15243416
103,4h,Hybrid,6/2/2024 7:52,118.6,0.2,20.7,3528,-2413,4274,169.6,180.6,-48.7,31.2,45.6,87.85185185,86.09481481,,15.7,0.24,0.2,22,9.401349073
104,5h,Hybrid,6/2/2024 7:54,114.1,-0.7,23.1,2705,-615,2774,178.2,196.1,-21.8,34.9,45.6,84.51851852,82.82814815,,18.1,-0.84,-0.7,25,18.31726556
105,5h,Hybrid,6/2/2024 7:54,125.3,1.4,26.9,1673,-64,1674,220.3,242.6,2.1,48.6,47.8,92.81481481,90.95851852,,21.9,1.68,1.4,25,12.84118117
106,5h,Hybrid,6/2/2024 7:55,123,7.1,23.9,2172,960,2375,199.6,207.3,62,40.3,46.6,91.11111111,89.28888889,,18.9,8.52,7.1,25,25.46341463
107,5h,Hybrid,6/2/2024 7:56,129.7,-4.2,15.9,4770,-208,4775,191.5,206.4,-20.4,34.2,46,96.07407407,94.15259259,,10.9,-5.04,-4.2,25,35.17347726
108,5h,Hybrid,6/2/2024 7:56,120.8,-5.2,12.5,3536,-309,3549,181.8,199.6,-26.4,21.7,35.6,89.48148148,87.69185185,,7.5,-6.24,-5.2,25,26.71357616
109,5h,Hybrid,6/2/2024 7:56,127.5,4.3,12.2,5478,-481,5499,181.8,195.1,5.4,26.4,41.7,94.44444444,92.55555556,,7.2,5.16,4.3,25,39.19215686
110,5h,Hybrid,6/2/2024 7:57,114.1,4.6,25.3,5090,929,5174,158.9,171.4,30.3,40.1,51.7,84.51851852,82.82814815,,20.3,5.52,4.6,25,52.75197195
111,5h,Hybrid,6/2/2024 7:59,114.1,-0.8,24.8,5575,-518,5599,159.4,171.3,-11,40.5,51.9,84.51851852,82.82814815,,19.8,-0.96,-0.8,25,44.32077125
112,5h,Hybrid,6/2/2024 7:59,111.8,3.8,21.1,5700,750,5749,155.1,167.1,22.7,32.3,47.9,82.81481481,81.15851852,,16.1,4.56,3.8,25,57.69230769
113,5h,Hybrid,6/2/2024 7:59,123,0.1,19.6,6374,-34,6374,172.4,183.9,-0.3,38.3,50.1,91.11111111,89.28888889,,14.6,0.12,0.1,25,51.54471545
114,5h,Hybrid,6/2/2024 8:00,127.5,1.8,19.3,5063,-610,5100,185.2,198.6,-7.2,39.4,49.4,94.44444444,92.55555556,,14.3,2.16,1.8,25,34.9254902
115,5h,Hybrid,6/2/2024 8:00,114.1,3.2,20.6,3172,-121,3174,174,191.4,7.6,31.3,43.8,84.51851852,82.82814815,,15.6,3.84,3.2,25,26.73970202
116,5h,Hybrid,6/2/2024 8:00,127.5,-1.3,16.9,5141,-1287,5300,183.8,197.7,-31.7,34.4,47,94.44444444,92.55555556,,11.9,-1.56,-1.3,25,30.22745098
117,5h,Hybrid,6/2/2024 8:01,114.1,-1.5,20.4,3596,-453,3624,172.6,188.8,-16.5,32,44.9,84.51851852,82.82814815,,15.4,-1.8,-1.5,25,27.54601227
118,5w,FW,6/2/2024 8:02,118.6,-7.2,27.3,3594,-1755,4000,171.3,176.5,-59.5,44.5,52.8,81.79310345,80.15724138,,20.3,-8.64,-7.2,19,15.50590219
119,5w,FW,6/2/2024 8:02,125.3,2.4,24.8,3099,-1570,3474,187.1,204.4,-39.1,43.3,50.7,86.4137931,84.68551724,,17.8,2.88,2.4,19,12.20271349
120,5w,FW,6/2/2024 8:03,129.7,-6.1,20.8,2621,-1878,3224,196.4,203.5,-76.1,36.2,45.9,89.44827586,87.65931034,,13.8,-7.32,-6.1,19,5.728604472
121,5w,FW,6/2/2024 8:03,136.5,1.1,16.5,4668,254,4675,204.8,219.8,11.5,39.9,48.2,94.13793103,92.25517241,,9.5,1.32,1.1,19,36.05860806
122,5w,FW,6/2/2024 8:03,120.8,3.3,30.6,5671,-185,5674,159.2,170.5,6.8,54.2,56.7,83.31034483,81.64413793,,23.6,3.96,3.3,19,45.41390728
123,5w,FW,6/2/2024 8:04,125.3,-0.3,27.3,4286,-1802,4649,176,189.7,-41.8,49.8,54.8,86.4137931,84.68551724,,20.3,-0.36,-0.3,19,19.82442139
124,5w,FW,6/2/2024 8:04,129.7,-3.5,18.9,5506,694,5550,186.5,199.5,2.4,40.8,50.1,89.44827586,87.65931034,,11.9,-4.2,-3.5,19,47.80262143
125,5w,FW,6/2/2024 8:05,118.6,-4.8,27.9,4360,-1946,4775,164.7,169.5,-49.1,45.8,54.2,81.79310345,80.15724138,,20.9,-5.76,-4.8,19,20.35413153
126,5w,FW,6/2/2024 8:06,134.2,1.9,24.8,4790,577,4825,191.7,205.3,21.8,54.4,54.5,92.55172414,90.70068966,,17.8,2.28,1.9,19,39.99254844
127,5w,FW,6/2/2024 8:06,120.8,3.7,29.1,6363,-1198,6475,157,167.5,-7.1,51.1,56.3,83.31034483,81.64413793,,22.1,4.44,3.7,19,42.75662252
128,5w,FW,6/2/2024 8:08,138.7,-1.1,13.5,3747,-122,3749,218.5,235.8,-8.6,33.7,43.3,95.65517241,93.74206897,,6.5,-1.32,-1.1,19,26.13554434
129,5w,FW,6/2/2024 8:09,129.7,1.9,24.4,7149,3589,7999,167.8,171.3,52.5,48,56,89.44827586,87.65931034,,17.4,2.28,1.9,19,82.79105628
130,5w,FW,6/2/2024 8:09,134.2,-4.2,21.9,3070,-986,3224,213.8,230.5,-54.4,46.9,49.9,92.55172414,90.70068966,,14.9,-5.04,-4.2,19,15.5290611
131,5w,FW,6/2/2024 8:10,134.2,0,25.8,5650,0,5650,183.7,196.1,0,56.6,55.6,92.55172414,90.70068966,,18.8,0,0,19,42.10134128
1,4h,Hybrid,6/10/2024 1:42,94,5.2,23.8,3039,467,3075,134.1,149.4,22.4,24.1,41.8,69.62962963,68.23703704,,18.8,6.24,5.2,22,37.29787234
2,4h,Hybrid,6/10/2024 1:43,94,-3.8,20.5,2471,-134,2475,136.1,154.5,-13.3,19.8,36.3,69.62962963,68.23703704,,15.5,-4.56,-3.8,22,24.86170213
3,4h,Hybrid,6/10/2024 1:44,87.2,2.8,22.2,2321,-1113,2574,117.6,135.2,-11.9,17.3,35.8,64.59259259,63.30074074,,17.2,3.36,2.8,22,13.85321101
4,4h,Hybrid,6/10/2024 1:45,98.4,-1,20.7,3284,324,3300,138.3,154.1,3.1,22.1,39.6,72.88888889,71.43111111,,15.7,-1.2,-1,22,36.66666667
